Emails, Names, Phone 
ulvchildcareoshc@centralcoast.tas.gov.au,East Ulverstone Outside School Hours Care,(03) 6425 3505
AvocaoutsideSHC@bigpond.com,Avoca OSHC,(07) 4152 6674
communitychildren@bigpond.com,Community Children - Essendon,(03) 9337 6634
opsadmin@campaustralia.com.au,Camp Australia - St. Mary MacKillop College OSHC,1300 105 343
NA,Camp Australia - Essendon Primary School OSHC,1300 105 343
maitland@pcycnsw.org.au,MAITLAND PCYC KIDZCARE,(02) 4934 7122
cps.oshc820@schools.sa.edu.au,Craigburn Primary School OSHC,(08) 8270 1620
essendon@casabambini.com.au,Casa Bambini Children's Centre - Essendon,(03) 9337 3866
ccs.admin@aohtas.org.au,CatholicCare Children's Services - Our Lady of Lourdes Outside School Hours Care,1300 119 455
admin@cessnockchildrenscentre.com.au,Cessnock Occasional Child Care Centre,(02) 4990 2687
vc@bathurst.nsw.gov.au,Bathurst Regional Council Vacation Care,(02) 6338 2800
scallywags@bathurst.nsw.gov.au,Bathurst Community CCC - 'Scallywags',(02) 6333 6560
elizabeth@kiddieacademy.com.au,Kiddie Academy Mudgee,(02) 6372 7220
kateke@latrobe.vic.gov.au,Latrobe City Family Day Care Scheme,(05) 1285 400
kics1@bigpond.com,Bargara Kids In Care At School Combined OSHC,(07) 4159 1336
director@cygnetchildcare.org.au,Cygnet Outside School Hours Care,(03) 6295 1848
gallowaychildren@gmail.com,Galloway Childrens Centre,(02) 6772 8600
mgdn@mothergoosedaynursery.com.au,Mother Goose Day Nursery,(02) 4930 3311
basc2795@bigpond.com,Bathurst After School Care,0412 898 446
oshc@campaustralia.com.au,Camp Australia - Abbotsford Primary School OSHC,1300 105 343
bat@goodstart.org.au,Goodstart Early Learning Bathurst,(02) 6334 3588
directoroshc@devonportchildcare.org.au,Nixon Street Outside School Hours Care,(03) 6424 6747
vic.kids2015@gmail.com,Vic Kids - Victoria Plantation State School P&C; OSHC,0477 663 50
abp@childcare.com.au,Goodstart Early Learning Aberfoyle Park,(08) 8387 4511
allambie.road.oosh@cfs.asn.au,Allambie Road Before and After Care,(02) 9823 4262
azariafdc@hotmail.com,Azaria Family Day Care Service,(09) 3621 996
OOSH@allhallowsoosh.org.au,All Hallows OOSH,(02) 9713 4431
enquiries@bathurstelc.com.au,Bathurst ELC,(02) 6331 8425
afdc@optusnet.com.au,Armidale and District Family Day Care,(02) 6772 5300
admin@cessnockchildrenscentre.com.au,Cessnock Out of School Hours Care,(02) 4990 2687
enquiries@earlylearning.tsv.catholic.edu.au,Mary MacKillop Early Learning Centre - Ingham,(07) 4776 6161
dposhc@primaryoshcare.com.au,Dobroyd Point OSHC,0415 983 385
AvocaoutsideSHC@bigpond.com,Avoca OSHC,(07) 4152 6674
ielc@bigpond.com,Ingham School Age Care,0477 619 33
bee.hadfield@beecentre.com.au,Bee on Hadfield,(09) 7522 924
maitland@kindakapers.com.au,Kinda Kapers Maitland,(02) 4934 4831
fdcmanager@carinbundi.com.au,Carinbundi Kids Family Day Care,(14) 1589 604
OOSH@allhallowsoosh.org.au,All Hallows OOSH,(02) 9713 4431
ulvchildcareoshc@centralcoast.tas.gov.au,Forth Outside School Hours Care,(03) 6425 3505
linda-is@live.com,Fiona Childcare Centre- Bathurst,(02) 6337 1858
fdpsoosh@tpg.com.au,Five Dock Public School P&C; Association OOSH,(02) 9712 3260
fdpsoosh@tpg.com.au,Five Dock Public School P&C; Association OOSH,(02) 9712 3260
at1.hafdc@outlook.com,Holistic Approach Family Day Care Scheme,(02) 4332 3719
armidale@pcycnsw.org.au,Armidale PCYC Kidzcare,(02) 6772 1023
linda@sharingthecare.com.au,Miandetta Children's Centre (OSHC),(06) 4232 122
director@settlementroadelc.com.au,SETTLEMENT ROAD EARLY LEARNING & KINDER,(03) 5633 1233
cps.oshc820@schools.sa.edu.au,Craigburn Primary School OSHC,(08) 8270 1620
brighterbeginningsfdc@yahoo.com,Brighter Beginnings Family Day Care Pty Ltd YAGOONA,0401 421 448
amazingfamilydaycare@gmail.com,Amazing Family Day Care,(02) 9675 2435
allambie.road.oosh@cfs.asn.au,Allambie Road Before and After Care,(02) 9823 4262
Family.Daycare@midwestern.nsw.gov.au,Mid-Western Regional Family Day Care Scheme,(02) 6378 2730
monikasyd@hotmail.com,Cherry Bridge Station Five Dock Early Learning and Childcare Centre,(02) 8387 5844
fdc@samaritans.org.au,Samaritans Family Day Care,0499 334 00
fivedock@caring4kids.com.au,Caring 4 Kids Five Dock,(02) 9713 9500
admin@bluebirdchildcare.com.au,Bluebird Childcare Centre,(08) 9752 4705
augustine.arogun@tckgbookkeeping.biz,Omega Family Daycare,(03) 8774 4804
lbccc@bigpond.com,Little Bear Child Care Cottage,(02) 6772 1651
oshc.braeview948@schools.sa.edu.au,Braeview Primary School OSHC,(08) 8387 5063
rut@goodstart.org.au,Goodstart Early Learning Rutherford,(02) 4932 5611
info@naturealliancefdc.com.au,Nature Alliance Family Day Care Service,0477 029 254
directoroshcc@devonportchildcare.org.au,Nixon Street Outside School Hours Care,(03) 6424 6747
afdc@optusnet.com.au,Armidale and District Family Day Care,(02) 6772 5300
info@kurrawathaelc.com.au,Kurrawatha Avenue Early Learning Centre,(02) 6771 2399
ahccc@adam.com.au,Aberfoyle Hub Community Children's Centre,(08) 3705 063
a2zcentre@bigpond.com,A2Z Learning Centre,(09) 8233 318
kookaburrakorneradmin@westnet.com.au,Kookaburra Korner Early Education Centre INC,(02) 4932 7780
director@cygnetchildcare.org.au,Cygnet Children's Centre,(03) 6295 1848
oshc@campaustralia.com.au,Camp Australia - St Mary's Catholic Primary School Armidale OSHC,1300 105 343
lechelle@elitechildcare.com.au,Elite Family Day Care,(08) 9841 8211
fivedockgnr@caring4kids.com.au,Caring 4 Kids,(02) 9713 6077
ulverstone@discoveryelc.com.au,Discovery Early Learning Centre - Ulverstone OSHC,(03) 6425 1388
KAALY_AHMED2012@HOTMAIL.COM,Diamond Kidzz Family Day Care Pty Limited,0422 596 327
southerncs@ncn.org.au,Southern Childcare Services,(03) 6228 2487
sharongrealy333@bigpond.com,Moe Central Child Care and Kindergarten Centre,(03) 5127 7466
ighm@tsv.catholic.edu.au,Our Lady of Lourdes Outside School Hours Care,(07) 4776 2719
bathurstwestoshc@gowriensw.com.au,Gowrie NSW Bathurst West Outside School Hours Care,0438 247 606
kics1@bigpond.com,Bargara Kids In Care At School Combined OSHC,(07) 4159 1336
Sergio@gokindy.com.au,Go Kindy Little Legends Education Centre,(02) 4932 9022
kew@goodstart.org.au,Goodstart Early Learning Kelso - Gilmour Street,(02) 6332 6155
sagal@billanfdc.com.au,Billan Family Day Care,0411 295 630
tarryn@sharingthecare.com.au,Stepping Stones - Ulverstone Outside School Hours Care,(03) 6425 3499
bathurst@firstgrammar.com.au,First Grammar Bathurst,(02) 6332 6662
elc@bcc.net.au,Bundaberg Christian College - Outside School Hours Care Program,(07) 4132 5870
Sarah.Duffy483@schools.sa.edu.au,Happy Valley Primary School OSHC,(08) 8322 2411
oshc@campaustralia.com.au,Camp Australia - Walkervale State School OSHC,1300 105 343
DIRECTOR@ALHUDADCE.COM,Al-Huda Daycare and Education,(02) 8065 7980
Mudgee@gowriensw.com.au,Gowrie NSW Mudgee Early Education and Care Centre,(06) 3709 700
eglinton-oosh@bigpond.com,Eglinton Out of School Hours Care,0429 371 205
info.frc@ymcawa.org.au,YMCA Family Day Care Scheme,(08) 9752 4033
els_enquiries@missionaustralia.com.au,Mersey Leven In Home Child Care/Family Day Care,(02) 3424 4855
admin@hobbitpreschool.ngo.org.au,Hobbit New England Preschool & Child Care Centre,(02) 6772 4746
ulverstone@discoveryelc.com.au,Discovery Early Learning Centre - Ulverstone OSHC,(03) 6425 1388
vic.kids2015@gmail.com,Vic Kids - Victoria Plantation State School P&C; OSHC,0477 663 50
bus@goodstart.org.au,Goodstart Early Learning Busselton,(08) 9754 6733
director@imaginationselc.com.au,Imaginations Early Learning Centre,(02) 6372 2040
ahsoshc.oshc220@schools.sa.edu.au,Aberfoyle Hub R-7 School OSHC,(08) 8270 5055
flockhartst@eel.com.au,Explorer's Early Learning - Flockhart Street,(03) 9429 1900
INFO@ISSAFDC.COM,Lil'Issa Family Day Care,(09) 5479 819
aftercare@sophiamundi.vic.edu.au,Sophia Mundi Steiner School After Care,(03) 9419 9229
AvocaoutsideSHC@bigpond.com,Avoca OSHC,(07) 4152 6674
largs@kindypatch.com.au,Kindy Patch Largs,(02) 4930 1080
walkerstreet@candk.asn.au,C&K; Walker Street Community Child Care Centre,(07) 4152 8011
ccs.admin@aohtas.org.au,CatholicCare Children's Services - Our Lady of Lourdes Outside School Hours Care,1300 119 455
assumptionoshc@centacarebathurst.com.au,Assumption OSHC,0428 098 103
info@kcl.com.au,KCL Family Day Care,(02) 6721 1811
aroundtheclockfdc@outlook.com,Around The Clock Family Day Care,0408 222 255
cessnock@communitykids.com.au,Community Kids Cessnock Early Education Centre,(02) 4991 5990
davmatptyltd@bigpond.com,Little Saints Early Learning Centre - Moe,(05) 1276 100
armidale@tgschildcare.com.au,TG's Child Care - Armidale,(02) 6772 7810
info@edensorkids.com.au,Edensor Kids Child Care Centre,(02) 9753 3200
mbcldc@mbchurch.org.au,Maitland Baptist Church Pre-School And Long Day Care,(02) 4939 1820
ielc@bigpond.com,Ingham School Age Care,0477 619 33
bluebirdccc@live.com.au,Bluebird After School and Vacation Care,(08) 9752 4705
willow.grove.ps@edumail.vic.gov.au,Willow Grove Primary After Care,(03) 5635 2271
info@acornchildcare.com.au,Acorn East,(07) 4153 0333
linda@sharingthecare.com.au,Miandetta Children's Centre (OSHC),(06) 4232 122
opsadmin@campaustralia.com.au,Camp Australia - Georgiana Molloy Anglican School OSHC,1300 105 343
